productname,productid,imagepath
Xoài Cát,6116fdf3-473f-4324-af54-1b950076ef52,productImage/6116fdf3-473f-4324-af54-1b950076ef52_XoàiCát.jpg
Gạo ST25,b7237f07-c2bf-48d7-a630-3faaac02cfcc,productImage/b7237f07-c2bf-48d7-a630-3faaac02cfcc_GạoST25.jpg
Gạo nếp,95827b65-ec7b-405b-bd26-6558d04211cf,productImage/95827b65-ec7b-405b-bd26-6558d04211cf_Gạonếp.jpg
Mãng Cầu Xiêm,aaa373ef-1cfe-4e6a-9c87-eeba7eaec713,productImage/aaa373ef-1cfe-4e6a-9c87-eeba7eaec713_MãngCầuXiêm.jpg
Rau cải ngồng ,b11d5edc-9b25-4eab-8f56-aae3476a7082,productImage/b11d5edc-9b25-4eab-8f56-aae3476a7082_Raucảingồng.jpg
Cải Bẹ Xanh,ff2a70c5-3606-4e4a-af5a-cac6a860cab6,productImage/ff2a70c5-3606-4e4a-af5a-cac6a860cab6_CảiBẹXanh.jpg
Chuối Tiêu,ffcb432e-fc34-4881-adad-42e90f2d9fec,productImage/ffcb432e-fc34-4881-adad-42e90f2d9fec_ChuốiTiêu.jpg
Bắp Cải Tím,082496bb-56c6-4ecc-84af-3c46bebec65f,productImage/082496bb-56c6-4ecc-84af-3c46bebec65f_BắpCảiTím.jpg
Rau ngót,ae4b4eee-886c-47fd-8bb2-6126dcb5f0ae,productImage/ae4b4eee-886c-47fd-8bb2-6126dcb5f0ae_Raungót.jpg
Ổi Hồng,8c928aca-de9e-4d19-8915-fe4fb1c63ca7,productImage/8c928aca-de9e-4d19-8915-fe4fb1c63ca7_ỔiHồng.jpg
Bí Xanh,f1aa0ac5-e531-4a37-9da8-c71367b8f203,productImage/f1aa0ac5-e531-4a37-9da8-c71367b8f203_BíXanh.jpg
Xoài Keo,8c80487d-9cb4-49df-ab63-9cde11eaf0a8,productImage/8c80487d-9cb4-49df-ab63-9cde11eaf0a8_XoàiKeo.jpg
Bí Xanh,e78f8e7b-706a-4b3e-a137-16af136e81bf,productImage/e78f8e7b-706a-4b3e-a137-16af136e81bf_BíXanh.jpg
Rau dền tím,7322fc17-a36f-4391-8eb5-0a263c060d85,productImage/7322fc17-a36f-4391-8eb5-0a263c060d85_Raudềntím.jpg
Bí Xanh,87a8b5fb-6e0a-4062-9319-dc9f23faf5a5,productImage/87a8b5fb-6e0a-4062-9319-dc9f23faf5a5_BíXanh.jpg
Cam Sành,fc3ec894-3b3e-480c-97e6-6f7e92029051,productImage/fc3ec894-3b3e-480c-97e6-6f7e92029051_CamSành.jpg
Bạc hà,217b798b-e613-45cb-9f8f-046b0bf61dff,productImage/217b798b-e613-45cb-9f8f-046b0bf61dff_Bạchà.jpg
Cà chua,9707b860-f329-419d-acb2-9113a142b7f2,productImage/9707b860-f329-419d-acb2-9113a142b7f2_Càchua.jpg
Gạo thơm thái,b1955c4b-f011-4fd3-b92e-a38a92955a50,productImage/b1955c4b-f011-4fd3-b92e-a38a92955a50_Gạothơmthái.jpg
Cải Thảo,997fa52b-548d-437e-a183-9ba64cff62ac,productImage/997fa52b-548d-437e-a183-9ba64cff62ac_CảiThảo.jpg
Bắp Mỹ,373419b8-b75b-4421-b6e5-6baf13a60918,productImage/373419b8-b75b-4421-b6e5-6baf13a60918_BắpMỹ.jpg
Nho Mỹ,3854e48e-b69c-4ab6-ae4b-99f28650b4e1,productImage/3854e48e-b69c-4ab6-ae4b-99f28650b4e1_NhoMỹ.jpg
Bí đỏ,878be5be-7ef7-4912-b0a5-fd18f6cd4201,productImage/878be5be-7ef7-4912-b0a5-fd18f6cd4201_Bíđỏ.jpg
Cải ngọt,cbf585bb-6a0e-4eb7-9c3b-e0b373028fcc,productImage/cbf585bb-6a0e-4eb7-9c3b-e0b373028fcc_Cảingọt.jpg
Nho Mỹ,3c59ef98-feae-442d-85f1-39285e665a17,productImage/3c59ef98-feae-442d-85f1-39285e665a17_NhoMỹ.jpg
Bắp nếp,20955018-a13b-4e52-afd0-ede45b7a417f,productImage/20955018-a13b-4e52-afd0-ede45b7a417f_Bắpnếp.jpg
Đậu xanh,71694d49-0fd5-47f8-ba53-3ba5beb8ebce,productImage/71694d49-0fd5-47f8-ba53-3ba5beb8ebce_Đậuxanh.jpg
