productname,productid,productimage1
Xoài Cát,6116fdf3-473f-4324-af54-1b950076ef52,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2Fdownload.jpg?alt=media&token=f6653141-62b5-4141-b885-e830f9687e36
Gạo ST25,b7237f07-c2bf-48d7-a630-3faaac02cfcc,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FG%E1%BA%A1o%20ST25%2F6cf79cff-d8af-4192-92ad-b048b588398d?alt=media&token=d3b59d38-51e8-4ef2-bafc-9ca24d46dbe6
Gạo nếp,95827b65-ec7b-405b-bd26-6558d04211cf,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FG%E1%BA%A1o%20n%E1%BA%BFp%2Fd0c49e6b-a457-47ae-bbe4-f85113fce5c6?alt=media&token=451836db-c525-4488-8707-fd41140cb637
Mãng Cầu Xiêm,aaa373ef-1cfe-4e6a-9c87-eeba7eaec713,https://5.imimg.com/data5/JA/EV/MY-50344271/soursop-500x500.jpg
Rau cải ngồng ,b11d5edc-9b25-4eab-8f56-aae3476a7082,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmybaj4qq-bYPtvOwPh7nv_wdgMgZAZISGeQ&s
Cải Bẹ Xanh,ff2a70c5-3606-4e4a-af5a-cac6a860cab6,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Categories%2FRau%2Fcaibexanh%2Fcaibexanh1.jpg?alt=media&token=ac28fad9-4273-4149-a06b-529a1d5c7c95
Chuối Tiêu,ffcb432e-fc34-4881-adad-42e90f2d9fec,https://data-service.pharmacity.io/pmc-upload-media/production/pmc-ecm-asm/posts/chuoi-tieu-2.webp
Bắp Cải Tím,082496bb-56c6-4ecc-84af-3c46bebec65f,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FB%E1%BA%AFp%20C%E1%BA%A3i%20T%C3%ADm%2F88b49eff-08b3-4cd3-8a38-8d35f9701dcd?alt=media&token=bdb8138a-4383-4ff5-a110-ea50287a8e64
Rau ngót,ae4b4eee-886c-47fd-8bb2-6126dcb5f0ae,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FRau%20ng%C3%B3t%2F07ee4786-bdbe-4a60-a147-80364becee74?alt=media&token=cb4f9d42-d49a-4f6d-bfb0-69a1a827d228
Ổi Hồng,8c928aca-de9e-4d19-8915-fe4fb1c63ca7,https://firebasestorage.googleapis.com/v0/b/storgeimage.appspot.com/o/Product%2Foi-ruot-hong.jpg?alt=media&token=cd248448-1b47-4f90-9587-7d0f8e975e5e
Bí Xanh,f1aa0ac5-e531-4a37-9da8-c71367b8f203,https://th.bing.com/th/id/OIP.6u91t2I_nvrAFCAWhcwJ4gHaFL?rs=1&pid=ImgDetMain
Xoài Keo,8c80487d-9cb4-49df-ab63-9cde11eaf0a8,https://farm360.vn/images/29112019/154a6d396ef5599b2ccaad19c7d0f235.jpg
Bí Xanh,e78f8e7b-706a-4b3e-a137-16af136e81bf,https://th.bing.com/th/id/OIP.8meYQRTFvXzA2rHfLq4veQHaE8?rs=1&pid=ImgDetMain
Rau dền tím,7322fc17-a36f-4391-8eb5-0a263c060d85,https://firebasestorage.googleapis.com/v0/b/nongsan-3d7a3.appspot.com/o/products%2FRau%20d%E1%BB%81n%2F1ecb957c-d93f-4e51-93f3-5721ad9ed54c?alt=media&token=498e97f4-6081-4a01-a151-d7de4afe3273
Bí Xanh,87a8b5fb-6e0a-4062-9319-dc9f23faf5a5,https://th.bing.com/th/id/R.6cae6582ff4fa8288c1c370353698bbd?rik=PWbptObzBOz3Wg&riu=http%3a%2f%2fthucphamdongxanh.com%2fwp-content%2fuploads%2f2019%2f07%2fbi-xanh-4.jpg&ehk=nHaa%2ffVSfslVwjCqAdAdm7ET62Av9l26PATWrle3eME%3d&risl=&pid=ImgRaw&r=0
Cam Sành,fc3ec894-3b3e-480c-97e6-6f7e92029051,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiYVfupKRuHflgCprs-tsJsl4rpCG81awYaA&s
